"phi","tau","gamma","combIdx","condition"
0.0373813823601261,6.15649377700477,0.986375116305333,15,"HP"
0.0279080977861563,7.23040620214165,0.987107429772332,15,"HP"
0.0306627923396773,6.73540504152488,0.985618135725655,15,"HP"
0.022523645908166,6.49069894871669,0.984561778534283,15,"HP"
0.0162007363320833,7.97480158107424,0.985450266214837,15,"HP"
0.0367274120607303,6.97467825022355,0.987455567087722,15,"HP"
0.0249826334573493,7.03910584991011,0.989936319841962,15,"HP"
0.0254152588798584,7.26586004073427,0.989052172491761,15,"HP"
0.0287752184595654,7.20608761588277,0.988724431883292,15,"HP"
0.02727793458424,7.09973691884466,0.984558504078019,15,"HP"
0.031505483392305,6.53469877143019,0.985879830315099,15,"HP"
0.0392947094010628,6.91862301431345,0.987248784857725,15,"HP"
0.033666146903341,6.91798668863127,0.986006128100483,15,"HP"
0.0359884257898787,6.04616729711754,0.990532818214069,15,"HP"
0.0467055898859499,7.02085325028597,0.990329345289941,15,"HP"
0.0330164851580347,5.67910766299262,0.989135374195443,15,"HP"
0.0349318923728983,7.25023367271831,0.988472310050416,15,"HP"
0.0370690763481255,7.3424980865747,0.988402084165543,15,"HP"
0.0202408870450131,6.9930181761161,0.985977575161276,15,"HP"
0.0262112293190871,6.90974903319947,0.98560571020518,15,"HP"
0.0277606386407193,6.83336230242908,0.984197024844307,15,"HP"
0.0367234907395866,6.50627346742872,0.987463101681744,15,"HP"
0.0282770437196246,6.82752331047189,0.986226229878148,15,"HP"
0.0357305949776954,6.59172315489053,0.987655477771821,15,"HP"
0.0261817060218493,7.09260503138115,0.986676047401954,15,"HP"
0.0322599079321897,6.54889059009106,0.986745921382348,15,"HP"
0.0391136522477292,6.38551208138451,0.986763599720957,15,"HP"
0.0273910133189977,7.09375174744908,0.987226499766032,15,"HP"
0.0436541984354877,6.36385215326652,0.988199640146809,15,"HP"
0.0146237509111561,6.86805130729058,0.982497813217007,15,"HP"
0.0537795813001821,6.88472750078281,0.986281577799571,15,"HP"
0.0208277870736395,6.29600109555202,0.983201850369534,15,"HP"
0.0403182443087959,6.66398927241075,0.984417950021221,15,"HP"
0.00354464473266958,7.63888707032642,0.979683876267458,15,"HP"
0.0101957714445775,8.75594020670107,0.987948592952386,15,"HP"
0.0350881438112955,6.68419665226848,0.986468399075791,15,"HP"
0.0372869782204985,7.45782474436268,0.985425280001301,15,"HP"
0.036592701971892,6.45299952564054,0.984020423418122,15,"HP"
0.0392992507742604,7.36304410234148,0.985041852276431,15,"HP"
0.0315726970320386,6.22498551503302,0.985470144448242,15,"HP"
0.0423271206089056,6.57519757398343,0.986386744221278,15,"HP"
0.0197023057045643,6.53408725353951,0.983403382615463,15,"HP"
0.0468108675988391,6.90781769665848,0.987360588141252,15,"HP"
0.0342619309099385,7.16521803533307,0.986918452024907,15,"HP"
0.0296080417747197,6.8635954492149,0.982138748175682,15,"HP"
0.0291210307299185,6.08073776394754,0.981921670153692,15,"HP"
0.0343930577166496,6.57097884485242,0.987204298285547,15,"HP"
0.0307538962808589,7.70908404705742,0.985690293640465,15,"HP"
0.026855394939911,7.26122896929097,0.98516178631456,15,"HP"
0.0520393487602147,6.3238233654265,0.985830292428872,15,"HP"
0.0420653214758183,6.03373459171451,0.986042330288622,15,"HP"
0.022483607210126,5.99510918102257,0.985423729526746,15,"HP"
0.0233749554299238,6.30357484366687,0.985312655214955,15,"HP"
0.0296592366734719,6.43520700074922,0.985183669300196,15,"HP"
0.0419008688274636,6.69761694229409,0.984818021248799,15,"HP"
0.00980510080315022,7.29399652265661,0.98445660924381,15,"HP"
0.00902026320390048,7.74417879020859,0.98479130356601,15,"HP"
0.01299074865253,8.6950543140696,0.988887576053804,15,"HP"
0.012972720600508,8.27077671334133,0.987094498121956,15,"HP"
0.0136986598761711,7.72745536006551,0.985626063642477,15,"HP"
0.0119656296177768,8.56045649030864,0.988746495791792,15,"HP"
0.00463510464236261,9.61043565456188,0.988955529239783,15,"HP"
0.00453130188727346,12.586455210252,0.991731315599623,15,"HP"
0.00703195916831223,12.4885343463916,0.992381357414744,15,"HP"
0.00861665503676812,10.9444034339324,0.992469539232218,15,"HP"
0.00926013828080352,11.2530067242836,0.991963108396063,15,"HP"
0.00360473387708127,10.2835881399621,0.985963050093135,15,"HP"
0.00574209060214037,8.73818234180498,0.987146000092016,15,"HP"
0.00415978510084336,12.2653486642187,0.991775203347587,15,"HP"
0.00405701456412189,12.8474424228156,0.99061472382693,15,"HP"
0.033702466104829,6.17192584071722,0.982650298673595,15,"HP"
0.0277148848076841,7.07962614358861,0.986814798952789,15,"HP"
0.0268774515883675,6.72618553463013,0.986808276899167,15,"HP"
0.0381762988828603,6.87337008062509,0.987547567813569,15,"HP"
0.0073432100026477,9.20731848718393,0.988143734838583,15,"HP"
0.0155046294673228,7.67587903823912,0.986522313343122,15,"HP"
0.0181747682958294,8.1895043135821,0.985995461301082,15,"HP"
0.0182468498487874,8.11109578597439,0.986032524625917,15,"HP"
0.0521709125212446,6.6279883247651,0.987184699220478,15,"HP"
0.0257021658591008,6.15711573007434,0.985815723951866,15,"HP"
0.0398334744423476,6.86405420362236,0.986295205819442,15,"HP"
0.0179952694042256,6.64400049908252,0.97941686417704,15,"HP"
0.0192732311850872,5.90433985776559,0.980652386327977,15,"HP"
0.0231293532696561,6.04382824965586,0.981545327091817,15,"HP"
0.00618281585467007,9.27289430056946,0.988062386730064,15,"HP"
0.0028700024935584,15.4185463609152,0.991403919384042,15,"HP"
0.0027410024841511,15.145636352299,0.991381464127491,15,"HP"
0.0036222754715256,16.0400743768339,0.991521538718745,15,"HP"
0.00523094851169359,10.9495520303692,0.992172183340655,15,"HP"
0.00698799257064908,11.5315442819371,0.992067281485135,15,"HP"
0.00643276826207784,7.26633277931731,0.981097575696883,15,"HP"
0.0203988242740002,8.13164253503958,0.986600335030352,15,"HP"
0.0199020917921549,7.9947425646705,0.98649379765564,15,"HP"
0.0227038055732575,7.10891029921868,0.985701458605346,15,"HP"
0.031598044802754,6.51241647738905,0.987049455903078,15,"HP"
0.0420484340401205,6.71720995187398,0.987587743995019,15,"HP"
0.0335792361093374,6.91237397300515,0.989786292342063,15,"HP"
0.0261270944755172,6.49110755369589,0.989678603515791,15,"HP"
0.0250368898738431,6.34766585980277,0.989807497935783,15,"HP"
0.0376149736408525,7.110570408389,0.986180033236916,15,"HP"
0.032594417415681,6.40500844165254,0.986734223220029,15,"HP"
0.0222925621400001,7.3376240614255,0.985922625308489,15,"HP"
0.0155981272756709,6.72822263316186,0.980495704820324,15,"HP"
0.00991158090854816,8.54052194164591,0.986296951754382,15,"HP"
0.0511524576597155,5.8346068503983,0.987070423113601,15,"HP"
0.00923900789442145,7.06593738691102,0.982031039768484,15,"HP"
0.0118257531194398,8.04679182247645,0.982383328856543,15,"HP"
0.0459889228508211,6.67562031376479,0.984719393070467,15,"HP"
0.0481247534064873,6.84343663816243,0.984578083338684,15,"HP"
0.0244043114315751,6.31184808416417,0.984665946777703,15,"HP"
0.027482228963093,7.12010180953196,0.985490057067433,15,"HP"
0.0341769584240048,6.33386420071837,0.9834739513299,15,"HP"
