"phi","tau","gamma","combIdx","condition"
0.0629213735463203,3.51815835088229,0.740824581379395,32,"HP"
0.125335615203545,3.51277174884096,0.786734892910607,32,"HP"
0.0842769750146347,3.88023529663868,0.849464664010622,32,"HP"
0.0878376852875365,4.30401866358093,0.829765846792465,32,"HP"
0.151632795098914,3.90863244439633,0.731911173198113,32,"HP"
0.15713438151334,3.41569937149182,0.778655693846648,32,"HP"
0.149381660001073,2.86977138159887,0.721734952753197,32,"HP"
0.150400950265178,3.08531167354202,0.72368170013555,32,"HP"
0.223123651367066,3.32270686704766,0.833798039052045,32,"HP"
0.183815349903495,3.11592809311018,0.809873277912417,32,"HP"
0.164679417376199,2.62411638531389,0.817137178587224,32,"HP"
0.188642737490189,4.43889047279611,0.767043835726439,32,"HP"
0.195477816296398,2.27807089478757,0.862743408390348,32,"HP"
0.22166520808323,2.36692320555585,0.877793371960103,32,"HP"
0.197999444022085,2.07921894829934,0.866942420974606,32,"HP"
0.196633628196576,2.32934183707851,0.891293231621384,32,"HP"
0.216890886870822,3.75488889428988,0.789918541912798,32,"HP"
0.220533927737223,4.29678760207493,0.733521296111502,32,"HP"
0.206104720546186,4.27782799239831,0.746418872455872,32,"HP"
0.248212300318825,4.66313327758528,0.717997447378415,32,"HP"
0.177350822559123,2.67567273673086,0.806501826234279,32,"HP"
0.135968947449698,3.42118397635319,0.819160463801661,32,"HP"
0.141155055190369,3.90719812059826,0.831601520324556,32,"HP"
0.12576302465225,3.6143645667108,0.69331787682044,32,"HP"
0.118087223023431,5.36970254458155,0.72063968808644,32,"HP"
0.111600800745392,5.72309395005557,0.723341043203006,32,"HP"
0.149316563267511,3.53104703450493,0.742430517447235,32,"HP"
0.0802601871127434,4.15903499474915,0.704162347488783,32,"HP"
0.116389721109479,5.43769683503533,0.692103890102105,32,"HP"
0.191890564660176,3.60248853372851,0.780978407324563,32,"HP"
0.0499235480576447,5.23264625860068,0.866304694348155,32,"HP"
0.045095548079819,5.24867922927211,0.881415414591732,32,"HP"
0.0552874795630004,5.60477157499112,0.874396311869097,32,"HP"
0.0552874795630004,5.60477157499112,0.874396311869097,32,"HP"
0.0672371569869971,3.81158350018796,0.896968819799196,32,"HP"
0.0728760854700456,2.98612906145623,0.906855264648357,32,"HP"
0.178346873791748,3.42435272989982,0.776419121353474,32,"HP"
0.137571568300819,3.12275186104972,0.824342961845167,32,"HP"
0.134458703582308,4.06061852673594,0.818282954751559,32,"HP"
0.1295559760016,3.53390941120239,0.781517686385336,32,"HP"
0.14337303640716,3.60961722503932,0.776115310640533,32,"HP"
0.0956042837798622,2.96621215430926,0.83259537031241,32,"HP"
0.0953058271487325,3.07895479346833,0.836753588119776,32,"HP"
0.0804832618946768,2.88133088038074,0.849625226242999,32,"HP"
0.101351093924041,2.71167281372773,0.740742328784409,32,"HP"
0.104475907833117,4.27961802285804,0.849034210490131,32,"HP"
0.0819515341324185,3.24093169742657,0.855833479739968,32,"HP"
0.059500000383368,4.89195413084076,0.877228151809882,32,"HP"
0.0426349663294574,3.25985718124674,0.916924385828093,32,"HP"
0.0497295317982644,4.19503462955543,0.918469520346401,32,"HP"
0.0452877393303899,4.46360899954096,0.9117949845588,32,"HP"
0.0466425007841708,4.37986435420075,0.909924394900874,32,"HP"
0.0414240932107572,4.55586180609755,0.913261286203957,32,"HP"
0.0427764119352327,4.90785076323129,0.917406153356825,32,"HP"
0.0427764119352327,4.90785076323129,0.917406153356825,32,"HP"
0.0429246597783493,5.17804185436929,0.916766922398808,32,"HP"
0.0495483195826643,5.41843951810005,0.918911065988251,32,"HP"
0.0424003524446626,4.67987273567743,0.919533948342122,32,"HP"
0.0441716131636928,4.89356051963762,0.92047367643989,32,"HP"
