"phi","tau","gamma","combIdx","condition"
0.0406066700414578,2.24225566183171,0.805107379606601,51,"LP"
0.0479187781347997,2.37639883816915,0.79180575544237,51,"LP"
0.0481985597496096,2.34799945905502,0.793133593667887,51,"LP"
0.0461911003909466,2.24590538766311,0.752438347026486,51,"LP"
0.0624962891575389,2.42011022755003,0.785036200590941,51,"LP"
0.0553756087978913,2.46495427612754,0.776723934478574,51,"LP"
0.0472606978339459,2.577008982644,0.823707134440135,51,"LP"
0.0424682943132059,2.64831915485892,0.816053976434939,51,"LP"
0.0534170878345634,2.49774998571764,0.804428205616172,51,"LP"
0.0453424052882376,3.06799567506181,0.838778092207869,51,"LP"
0.0578921023844022,2.9929935523272,0.803778091456881,51,"LP"
0.0505111397761782,2.3184907446759,0.806970541644921,51,"LP"
0.0488893117183418,2.76946077375994,0.850727138016856,51,"LP"
0.0620654970932458,2.46518511894242,0.772402529267202,51,"LP"
0.0622335494208036,2.4655652859923,0.778010879936838,51,"LP"
0.0542521204986699,3.17291553329177,0.823388184896662,51,"LP"
0.0595967710007914,2.92479003293475,0.844819795298945,51,"LP"
0.0619156072384655,3.22714101672739,0.804258952397198,51,"LP"
0.0625093098641283,3.18343101995041,0.832699348300743,51,"LP"
0.0465191344118205,3.3172835427524,0.837568826055811,51,"LP"
0.05088572052134,3.34888177615411,0.864278493035814,51,"LP"
0.0475873626565846,3.41627902705793,0.85042921113129,51,"LP"
0.0490921390641733,3.44453738673157,0.856680235484083,51,"LP"
0.0488172669516254,2.18244489751925,0.770603229665835,51,"LP"
0.0434518731450525,2.07230040526025,0.775680187376659,51,"LP"
0.0441724615022313,2.14984359898129,0.76340310282061,51,"LP"
0.0421822951706474,2.51388949130691,0.828446230996998,51,"LP"
0.0519812560412676,3.15695617943386,0.849175782516294,51,"LP"
0.0529923371622544,3.12425727061563,0.827394061135787,51,"LP"
0.0484487133815106,2.76349241754455,0.842567751639749,51,"LP"
0.0481391678825542,2.84101502574351,0.84262561075355,51,"LP"
0.0476675430879762,2.40573529919569,0.793904025235328,51,"LP"
0.0567892896805251,3.35574550944013,0.839019669781266,51,"LP"
0.0517003135774715,3.2158917057979,0.859305042402029,51,"LP"
0.054001349192906,3.47454689907687,0.856098648446941,51,"LP"
0.0563666311207828,3.21072573369216,0.837893108852114,51,"LP"
0.052117600738033,3.1466943760307,0.847279284066356,51,"LP"
0.0519837553344588,3.14955298288783,0.847870342465977,51,"LP"
0.0478283761109405,2.87248465230499,0.82280712019266,51,"LP"
0.0511003066941106,2.75411635887446,0.830535454727855,51,"LP"
0.0484189091542162,2.8787641597606,0.826853329887492,51,"LP"
0.0488054389976721,2.85958840075195,0.804738857356152,51,"LP"
0.0509283804778294,2.80767339578506,0.786147189915583,51,"LP"
0.05348816759107,2.60408177964142,0.817450179459898,51,"LP"
0.0511683829265559,2.96265496820171,0.837158937156052,51,"LP"
0.0544087533331542,2.9351390603605,0.800456351044742,51,"LP"
0.0578358147661521,2.99816517539259,0.830346296617035,51,"LP"
0.0517536556111968,3.02883607351509,0.821435301024101,51,"LP"
0.0499915050539907,2.50957502242491,0.808431160260208,51,"LP"
0.0458029831003572,2.45019333629043,0.802848527734112,51,"LP"
0.0523659662126058,2.33185548648613,0.787088179747961,51,"LP"
0.0559673849991622,2.39167964103653,0.768685228882437,51,"LP"
0.0570890344346999,2.31236994469134,0.777218294808502,51,"LP"
0.0516337716172282,2.41725561231219,0.764756720933616,51,"LP"
0.0595485099941919,2.52564071811106,0.764474078099356,51,"LP"
0.0596534747236253,2.39455358299429,0.784234170543646,51,"LP"
0.0554367956571327,2.78808519032138,0.80348669175465,51,"LP"
0.0547199779344533,2.59233588519169,0.804204089302257,51,"LP"
0.0539571295618345,2.45965165100562,0.804449572040862,51,"LP"
0.0572953445357174,2.45710141260666,0.788183213780901,51,"LP"
0.0440295397399432,2.27244086365464,0.795429772073929,51,"LP"
0.0524711661139384,3.09352313796944,0.834492797993263,51,"LP"
0.0513952080563622,3.37594803071656,0.850015646564495,51,"LP"
0.0516245630341688,2.81625428429655,0.828634147844331,51,"LP"
0.0636755437139068,2.35640330314345,0.755030902851137,51,"LP"
0.0635941131239918,2.47498747464969,0.737386747276038,51,"LP"
0.0604998686845389,2.58012347542437,0.807013629913153,51,"LP"
0.0524993242939815,2.30499154968428,0.765719224511335,51,"LP"
0.0681161058264225,2.361904307733,0.767164074955586,51,"LP"
0.0501792846054888,3.20960351593603,0.854725652780337,51,"LP"
0.0492241950116289,3.33067625203306,0.845491819999837,51,"LP"
0.0561077621434444,3.15289173767756,0.833423077757476,51,"LP"
0.0418995409225958,2.76181212195319,0.835377594713474,51,"LP"
0.0440655716164137,2.88767531157952,0.841972639827934,51,"LP"
0.0492139434256953,3.42662675491262,0.829549438481383,51,"LP"
0.0515052204660919,3.24126016416776,0.858733410049511,51,"LP"
0.0437721002264607,2.43041356688173,0.830043736886831,51,"LP"
0.0419847123864814,2.30414649446171,0.824208548175639,51,"LP"
0.0354725856047436,3.2186756011716,0.870600069384871,51,"LP"
0.0464827921286344,3.27723634408381,0.854061131566994,51,"LP"
0.0498881105845314,3.06345252677808,0.834677975071873,51,"LP"
0.0530057953177266,3.03730342903398,0.82403599545099,51,"LP"
0.0565228867493269,2.65714973175149,0.809155710272759,51,"LP"
0.0512774808625971,2.6762408092876,0.810530129045612,51,"LP"
0.0650996800019169,2.54826936939186,0.735667179243247,51,"LP"
0.0637859148282692,2.82183818961782,0.807838434006485,51,"LP"
0.0481905676774094,3.12502623464978,0.852161304274729,51,"LP"
0.0571837907637109,2.90082594728544,0.808315436443379,51,"LP"
0.0652788507148941,2.47062304061949,0.776568449918061,51,"LP"
0.0722552952325498,2.8506471100338,0.771558509709246,51,"LP"
0.0606312184490809,2.6521277200823,0.827870318351014,51,"LP"
0.0468574403904012,2.25650299947799,0.783187349757084,51,"LP"
0.046653058015527,2.25947867713918,0.783782905434217,51,"LP"
0.0495531496204075,2.76690381465836,0.814133737357375,51,"LP"
0.0500402386216765,3.04463356467069,0.854915782873814,51,"LP"
0.0466707554238127,3.13223996164848,0.837349447253635,51,"LP"
0.0450683347117633,2.97115132164844,0.822621945134644,51,"LP"
0.0669667927935255,2.70165640349461,0.755203141069378,51,"LP"
0.0682038650287697,3.01471176869629,0.81725849955143,51,"LP"
0.0482647807910435,2.31040812275973,0.782450105426189,51,"LP"
0.0524837084754424,2.30020753827919,0.791650031734481,51,"LP"
0.0520840228324834,2.41425616119406,0.783509975145868,51,"LP"
0.0624077333422164,2.49442011582947,0.794500334604761,51,"LP"
0.0495182967022018,2.52249385678007,0.799970104333981,51,"LP"
0.0560555904240375,2.54351070341318,0.758945801035725,51,"LP"
0.0548640573986914,2.50782905041772,0.746833260997986,51,"LP"
0.0500409248792328,2.73421857239609,0.828030696984101,51,"LP"
0.0472849081863357,2.73537219412121,0.817185328659036,51,"LP"
0.0495507638182809,3.17356908285723,0.834609863612357,51,"LP"
